topic,url,index,ratings,total,snapshot,title
sports,http://www.rhapsody.com/lady-gaga,13,"0,0,0,0,2",2,/static/snapshots/l/url13.jpg,Lady Gaga : Rhapsody
arts_entertainment,http://www.imdb.com/name/nm3078932/,14,"0,0,0,0,2",2,/static/snapshots/l/url14.jpg,Lady Gaga - IMDb
arts_entertainment,http://www.cnn.com/SPECIALS/2009/michael.jackson.remembered,15,"0,0,0,0,2",2,/static/snapshots/l/url15.jpg,Michael Jackson Remembered - CNN.com
arts_entertainment,http://www.imdb.com/name/nm0001391/,16,"0,0,0,0,2",2,/static/snapshots/l/url16.jpg,Michael Jackson - IMDb
arts_entertainment,http://simple.wikipedia.org/wiki/Michael_Jackson,17,"0,0,0,0,2",2,/static/snapshots/l/url17.jpg,"Michael Jackson - Simple English Wikipedia, the free encyclopedia"
arts_entertainment,http://www.michaeljackson.com/us/this-is-it,18,"0,0,0,1,1",2,/static/snapshots/l/url18.jpg,Michael Jackson This Is It Movie | The Official Michael Jackson Site
arts_entertainment,http://www.msnbc.msn.com/id/31552029/ns/entertainment-music/,19,"0,0,0,0,2",2,/static/snapshots/l/url19.jpg,Michael Jackson’s life cut shockingly short - Celebrities
arts_entertainment,http://www.biography.com/articles/Michael-Jackson-38211,20,"0,0,0,0,2",2,/static/snapshots/l/url20.jpg,"Michael Jackson Biography - Facts, Birthday, Life Story  - Biography.com"
health,http://en.wikipedia.org/wiki/Suleman_octuplets,21,"0,0,0,0,2",2,/static/snapshots/l/url21.jpg,"Suleman octuplets - Wikipedia, the free encyclopedia"
arts_entertainment,http://www.imdb.com/name/nm3319257/,22,"0,0,0,0,2",2,/static/snapshots/l/url22.jpg,Nadya Suleman - IMDb
science_technology,http://en.wikipedia.org/wiki/Emissions_trading,23,"0,0,0,0,2",2,/static/snapshots/l/url23.jpg,"Emissions trading - Wikipedia, the free encyclopedia"
science_technology,http://www.epa.gov/captrade/,24,"0,0,0,0,2",2,/static/snapshots/l/url24.jpg,Cap and Trade | US EPA
science_technology,http://www.americanprogress.org/issues/2008/01/capandtrade101.html,25,"0,0,0,1,1",2,/static/snapshots/l/url25.jpg,Cap and Trade 101 | Center for American Progress
science_technology,http://online.wsj.com/article/SB123655590609066021.html,26,"0,0,0,0,2",2,/static/snapshots/l/url26.jpg,Barack Obama's Cap and Trade Program Is a Tax on the Working Class - WSJ.com
culture_politics,http://www.washingtonpost.com/wp-dyn/content/article/2009/05/31/AR2009053102077.html,27,"0,0,0,0,2",2,/static/snapshots/l/url27.jpg,Martin Feldstein - The Folly of Unilateral Cap-and-Trade
science_technology,http://en.wikipedia.org/wiki/American_Clean_Energy_and_Security_Act,28,"0,0,0,1,1",2,/static/snapshots/l/url28.jpg,"American Clean Energy and Security Act - Wikipedia, the free encyclopedia"
science_technology,http://www.epa.gov/captrade/captrade-101.html,29,"0,0,0,0,2",2,/static/snapshots/l/url29.jpg,Cap and Trade 101 | Cap and Trade | US EPA
science_technology,http://www.sightline.org/research/energy/res_pubs/cap-and-trade-101,30,"0,0,0,1,1",2,/static/snapshots/l/url30.jpg,Cap and Trade 101: A Climate Policy Primer | Sightline Institute
science_technology,http://www.epa.gov/climatechange/,31,"0,0,0,0,2",2,/static/snapshots/l/url31.jpg,Home | Climate Change | US EPA
science_technology,http://en.wikipedia.org/wiki/Climate_change,32,"0,0,0,0,2",2,/static/snapshots/l/url32.jpg,"Climate change - Wikipedia, the free encyclopedia"
science_technology,http://www.nature.org/initiatives/climatechange/,33,"0,0,0,0,2",2,/static/snapshots/l/url33.jpg,Help Fight Climate Change & Global Warming | The Nature Conservancy
science_technology,http://www.answers.com/topic/climate-change,34,"0,0,0,1,1",2,/static/snapshots/l/url34.jpg,Climate change: Definition from Answers.com
science_technology,http://www.pewclimate.org/,35,"0,0,0,0,2",2,/static/snapshots/l/url35.jpg,Center for Climate and Energy Solutions | Working Together for the Environment and the Economy
culture_politics,http://climate.nasa.gov/,36,"0,0,0,0,2",2,/static/snapshots/l/url36.jpg,Climate Change: Vital Signs of the Planet
science_technology,http://simple.wikipedia.org/wiki/Climate_change,37,"0,0,0,0,2",2,/static/snapshots/l/url37.jpg,"Climate change - Simple English Wikipedia, the free encyclopedia"
science_technology,http://www.epa.gov/climatechange/basicinfo.html,38,"0,0,0,0,2",2,/static/snapshots/l/url38.jpg,Basics | Climate Change | US EPA
science_technology,http://www.ipcc.ch/,39,"0,0,0,0,2",2,/static/snapshots/l/url39.jpg,IPCC - Intergovernmental Panel on Climate Change
science_technology,http://www.exploratorium.edu/climate/,40,"0,0,0,0,2",2,/static/snapshots/l/url40.jpg,Global Climate Change: Research Explorer | Exploratorium
science_technology,http://unfccc.int/,41,"0,0,0,0,2",2,/static/snapshots/l/url41.jpg,United Nations Framework Convention on Climate Change
science_technology,http://ec.europa.eu/environment/climat/home_en.htm,42,"0,0,0,1,1",2,/static/snapshots/l/url42.jpg,What we do - About us - Climate Action - European Commission
science_technology,http://en.wikipedia.org/wiki/Green_jobs,43,"0,0,0,1,1",2,/static/snapshots/l/url43.jpg,"Green job - Wikipedia, the free encyclopedia"
science_technology,http://en.wikipedia.org/wiki/Green-collar_worker,44,"0,0,0,0,2",2,/static/snapshots/l/url44.jpg,"Green-collar worker - Wikipedia, the free encyclopedia"
science_technology,http://greenjobsalliance.org/,45,"0,0,0,0,2",2,/static/snapshots/l/url45.jpg,Green Jobs Alliance
business,http://www.usgbc.org/DisplayPage.aspx?CMSPageID=1954,46,"0,0,0,0,2",2,/static/snapshots/l/url46.jpg,USGBC: Green Building Creates Green Jobs for a Green Economy
recreation,http://greenjobs.waketech.edu/,47,"0,0,0,1,1",2,/static/snapshots/l/url47.jpg,http://greenjobs.waketech.edu/
business,http://organiceating.com/,48,"0,0,0,0,2",2,/static/snapshots/l/url48.jpg,http://organiceating.com/
science_technology,http://en.wikipedia.org/wiki/Organic_food,49,"0,0,0,0,2",2,/static/snapshots/l/url49.jpg,"Organic food - Wikipedia, the free encyclopedia"
science_technology,http://en.wikipedia.org/wiki/Renewable_energy,50,"0,0,0,0,2",2,/static/snapshots/l/url50.jpg,"Renewable energy - Wikipedia, the free encyclopedia"
science_technology,http://www.nrel.gov/,51,"0,0,0,0,2",2,/static/snapshots/l/url51.jpg,National Renewable Energy Laboratory (NREL) Home Page
science_technology,http://www.eia.doe.gov/kids/energyfacts/sources/renewable/renewable.html,52,"0,0,0,0,2",2,/static/snapshots/l/url52.jpg,EIA Energy Kids - Renewable
science_technology,http://en.wikipedia.org/wiki/Renewable_energy_in_California,53,"0,0,0,0,2",2,/static/snapshots/l/url53.jpg,"Renewable energy in the United States - Wikipedia, the free encyclopedia"
science_technology,http://simple.wikipedia.org/wiki/Renewable_energy,54,"0,0,0,0,2",2,/static/snapshots/l/url54.jpg,"Renewable energy - Simple English Wikipedia, the free encyclopedia"
science_technology,http://www.eere.energy.gov/,55,"0,0,0,0,2",2,/static/snapshots/l/url55.jpg,U.S. DOE Energy Efficiency and Renewable Energy (EERE) Home Page
law_crime,http://www.lanepowell.com/237/renewable-energy/,56,"0,0,0,1,1",2,/static/snapshots/l/url56.jpg,"Renewable Energy Law Attorneys in Washington, Oregon and Alaska | Lane Powell PC"
science_technology,http://www.green.harvard.edu/renewable-energy,57,"0,0,0,0,2",2,/static/snapshots/l/url57.jpg,Renewable and Alternative Energy at Harvard | Sustainability at Harvard
science_technology,http://www.energy.ca.gov/renewables/index.html,58,"0,0,0,0,2",2,/static/snapshots/l/url58.jpg,California Renewable Energy Overview and Programs
science_technology,http://www.dieoff.org/page84.htm,59,"0,0,0,1,1",2,/static/snapshots/l/url59.jpg,Renewable Energy: Economic and Environmental Issues
science_technology,http://nationalatlas.gov/articles/people/a_energy.html,60,"0,0,0,0,2",2,/static/snapshots/l/url60.jpg,Renewable Energy Sources in the United States
business,http://the-mrea.org/,61,"0,0,0,1,1",2,/static/snapshots/l/url61.jpg,The Midwest Renewable Energy Association
science_technology,http://www.mayoclinic.com/health/alzheimers-genes/AZ00047,62,"0,0,0,0,2",2,/static/snapshots/l/url62.jpg,Alzheimer's: Is it in your genes? - MayoClinic.com
science_technology,"http://www.time.com/time/health/article/0,8599,1920745,00.html",63,"0,0,0,0,2",2,/static/snapshots/l/url63.jpg,Breakthrough Discoveries of Alzheimer's Genes - TIME
health,http://www.nia.nih.gov/Alzheimers/Publications/geneticsfs.htm,64,"0,0,0,0,2",2,/static/snapshots/l/url64.jpg,Alzheimer&#039;s Disease Genetics Fact Sheet | National Institute on Aging
health,http://www.ncbi.nlm.nih.gov/pubmed/11274343,65,"0,0,0,0,2",2,/static/snapshots/l/url65.jpg,"Alzheimer's disease: genes, proteins, and therapy. [Physiol Rev. 2001] - PubMed - NCBI"
health,http://www.webmd.com/alzheimers/guide/20061101/who-gets-alzheimers-genes-hold-key,66,"0,0,0,0,2",2,/static/snapshots/l/url66.jpg,Alzheimer’s Disease Genetics - WebMD
business,http://www.businessweek.com/lifestyle/content/healthday/640111.html,67,"0,0,0,0,2",2,/static/snapshots/l/url67.jpg,"Businessweek - Business News, Stock Market &amp; Financial Advice"
health,http://www.medpagetoday.com/Neurology/AlzheimersDisease/15850,68,"0,0,0,0,2",2,/static/snapshots/l/url68.jpg,New Genes Linked to Alzheimer's
science_technology,http://www.alzinfo.org/alzheimers-genetic.asp,69,"0,0,0,1,1",2,/static/snapshots/l/url69.jpg,Genetic Risk Factors | Fisher Center for Alzheimer&#039;s Research Foundation
health,http://en.wikipedia.org/wiki/Alzheimer%27s_disease,70,"0,0,0,0,2",2,/static/snapshots/l/url70.jpg,"Alzheimer's disease - Wikipedia, the free encyclopedia"
science_technology,http://news.health.com/2010/05/11/new-alzheimers-risk-genes-identified/,71,"0,0,0,0,2",2,/static/snapshots/l/url71.jpg,New Alzheimer&#039;s Risk Genes Identified - Health News and Views - Health.com
health,http://www.clinicaltrials.gov/ct2/show/NCT00006193,72,"0,0,0,0,2",2,/static/snapshots/l/url72.jpg,Effectiveness of Atkins Diet for Weight Loss - Full Text View - ClinicalTrials.gov
health,http://www.mayoclinic.com/health/autism/DS00348/DSECTION=symptoms,73,"0,0,0,0,2",2,/static/snapshots/l/url73.jpg,Autism: Symptoms - MayoClinic.com
health,http://www.cornerstorkbabygifts.com/autism-warning-signs.aspx,74,"0,0,0,1,1",2,/static/snapshots/l/url74.jpg,Autism and Its Early Warning Signs
health,http://www.cdc.gov/h1n1flu/vaccination/vaccine_safety_qa.htm,75,"0,0,0,0,2",2,/static/snapshots/l/url75.jpg,CDC H1N1 Flu | General Questions and Answers on 2009 H1N1 Influenza Vaccine Safety
health,http://www.cdc.gov/vaccines/vac-gen/side-effects.htm,76,"0,0,0,0,2",2,/static/snapshots/l/url76.jpg,Vaccines: Vac-Gen/Side Effects
health,http://www.who.int/csr/disease/swineflu/frequently_asked_questions/vaccine_preparedness/safety_approval/en/index.html,77,"0,0,0,1,1",2,/static/snapshots/l/url77.jpg,WHO | Safety of pandemic (H1N1) 2009 vaccines
arts_entertainment,http://www.thehollywoodgossip.com/2010/06/new-adam-lambert-music-video-love-it-or-hate-it/,78,"0,0,1,1,0",2,/static/snapshots/l/url78.jpg,New Adam Lambert Music Video: Love It or Hate it? - The Hollywood Gossip
arts_entertainment,http://www.imdb.com/name/nm2189338/,79,"0,0,0,1,1",2,/static/snapshots/l/url79.jpg,Adam Lambert - IMDb
arts_entertainment,http://top40.about.com/od/l/p/adamlambert.htm,80,"0,0,0,2,0",2,/static/snapshots/l/url80.jpg,Adam Lambert Profile - Biography of Adam Lambert
sports,http://www.usatoday.com/sports/cycling/2010-06-08-UCI-floyd-landis-drug-accusations_N.htm,81,"0,0,0,2,0",2,/static/snapshots/l/url81.jpg,UCI warned Floyd Landis against making drug accusations - USATODAY.com
arts_entertainment,http://sportsillustrated.cnn.com/2010/magazine/05/25/lance.armstrong/index.html,82,"0,0,0,1,1",2,/static/snapshots/l/url82.jpg,Lance Armstrong denied doping allegations by Floyd Landis  - SI.com - Magazine
sports,http://sports.espn.go.com/oly/cycling/news/story?id=3029089,83,"0,0,0,1,1",2,/static/snapshots/l/url83.jpg,"Landis stripped of Tour title for doping, unsure on appeal - cycling - ESPN"
sports,http://latimesblogs.latimes.com/sports_blog/2010/06/floyd-landis-hires-greg-lemonds-lawyers.html,84,"0,0,0,2,0",2,/static/snapshots/l/url84.jpg,Floyd Landis hires Greg Lemond's lawyers - latimes.com
sports,http://sports.espn.go.com/oly/cycling/news/story?id=2541883,85,"0,0,0,2,0",2,/static/snapshots/l/url85.jpg,"Landis: Kitchen sink defense UCI, WADA's fault - cycling - ESPN"
sports,http://www.cyclingnews.com/editions/cycling-news-flash-june-30-2008,86,"0,0,1,1,0",2,/static/snapshots/l/url86.jpg,"Cycling News Flash, June 30, 2008 www.cyclingnews.com - the first WWW cycling results and news service"
arts_entertainment,http://www.cbass.com/FloydLandis.htm,87,"0,1,0,1,0",2,/static/snapshots/l/url87.jpg,Floyd Landis doping controversy
sports,http://www.nytimes.com/2010/02/16/sports/cycling/16landis.html,88,"0,0,0,1,1",2,/static/snapshots/l/url88.jpg,Warrant Issued for Cyclist Floyd Landis in French Data Hacking Case - NYTimes.com
science_technology,http://www.huffingtonpost.com/2010/02/15/floyd-landis-arrest-warra_n_462711.html,89,"0,0,0,1,1",2,/static/snapshots/l/url89.jpg,Floyd Landis Arrest Warrant: Hacking Charges Hit Cyclist
health,http://orthopedics.about.com/od/famousinjuries/p/landis.htm,90,"0,0,1,1,0",2,/static/snapshots/l/url90.jpg,Floyd Landis - Hip Osteonecrosis
religion,http://newsweek.washingtonpost.com/onfaith/guestvoices/2010/06/lady_gaga_is_no_madonna.html?hpid=talkbox1,91,"0,0,0,1,1",2,/static/snapshots/l/url91.jpg,Guest Voices: Lady Gaga is no Madonna - On Faith at washingtonpost.com
arts_entertainment,http://www.last.fm/music/Lady+GaGa,92,"0,0,0,2,0",2,/static/snapshots/l/url92.jpg,"Lady Gaga — Songs, Albums, Pictures and Radio — Last.fm"
arts_entertainment,http://ladygagaonline.net/,93,"0,0,0,2,0",2,/static/snapshots/l/url93.jpg,Home - Lady Gaga Photos
arts_entertainment,http://new.music.yahoo.com/lady-gaga/,94,"0,0,0,2,0",2,/static/snapshots/l/url94.jpg,Lady Gaga on Yahoo! Music
arts_entertainment,http://top40.about.com/od/l/p/ladygaga.htm,95,"0,0,0,2,0",2,/static/snapshots/l/url95.jpg,Lady GaGa Biography and Profile
arts_entertainment,http://www.mahalo.com/lady-gaga,96,"0,0,0,2,0",2,/static/snapshots/l/url96.jpg,Lady Gaga
arts_entertainment,http://abcnews.go.com/Entertainment/story?id=8278249&page=1,97,"0,0,0,1,1",2,/static/snapshots/l/url97.jpg,"Lady Gaga Hermaphrodite Rumors 'Ridiculous,' Manager Says - ABC News"
arts_entertainment,http://www.stubhub.com/lady-gaga-tickets/,98,"0,0,0,1,1",2,/static/snapshots/l/url98.jpg,Lady Gaga Tickets - Lady Gaga Tour Dates at StubHub!
arts_entertainment,http://www.zimbio.com/Lady+Gaga,99,"0,0,0,2,0",2,/static/snapshots/l/url99.jpg,Lady Gaga - Zimbio
arts_entertainment,http://www.celebuzz.com/celebrities/lady-gaga/,100,"0,0,1,1,0",2,/static/snapshots/l/url100.jpg,"Lady Gaga Breaking News, Photos, Video and Gossip - Celebuzz"
arts_entertainment,http://www.michaeljackson.com/us/home,101,"0,0,0,2,0",2,/static/snapshots/l/url101.jpg,Michael Jackson  | The Official Michael Jackson Site
arts_entertainment,http://www.myspace.com/michaeljackson,102,"0,0,1,1,0",2,/static/snapshots/l/url102.jpg,"Michael Jackson | Kostenlose Musik, Tourdaten, Fotos, Videos"
arts_entertainment,http://www.tmz.com/person/michael-jackson/,103,"0,1,0,1,0",2,/static/snapshots/l/url103.jpg,"Michael Jackson News, Pictures, and Videos | TMZ.com"
arts_entertainment,http://today.msnbc.msn.com/id/37764023,104,"0,0,0,2,0",2,/static/snapshots/l/url104.jpg,‘Say Say Say’ most popular Jackson song - Entertainment - Music - TODAY.com
arts_entertainment,http://www.flixster.com/actor/michael-jackson,105,"0,0,1,1,0",2,/static/snapshots/l/url105.jpg,Michael Jackson
arts_entertainment,http://www.fanhistory.com/wiki/Michael_Jackson,106,"0,1,0,1,0",2,/static/snapshots/l/url106.jpg,Michael Jackson - Fan History Wiki: The Fandom History Resource
arts_entertainment,http://www.last.fm/music/Michael+Jackson,107,"0,0,0,2,0",2,/static/snapshots/l/url107.jpg,"Michael Jackson – Discover music, videos, concerts, stats, &amp; pictures at Last.fm"
arts_entertainment,http://www.amazon.com/Michael-Jackson/e/B000APU04Q,108,"0,0,0,1,1",2,/static/snapshots/l/url108.jpg,"Amazon.com: Michael Jackson: Songs, Albums, Pictures, Bios"
arts_entertainment,http://en.wikiquote.org/wiki/Michael_Jackson,109,"0,0,0,2,0",2,/static/snapshots/l/url109.jpg,Michael Jackson - Wikiquote
arts_entertainment,http://www.hollyscoop.com/michael-jackson/40.aspx,110,"0,0,1,1,0",2,/static/snapshots/l/url110.jpg,"Michael Jackson News - Michael Jackson Pictures, Videos, Latest Gossip"
arts_entertainment,http://topics.nytimes.com/top/reference/timestopics/people/j/michael_jackson/index.html,111,"0,0,0,1,1",2,/static/snapshots/l/url111.jpg,Michael Jackson News - The New York Times
arts_entertainment,http://www.mahalo.com/michael-jackson,112,"0,0,0,2,0",2,/static/snapshots/l/url112.jpg,Michael Jackson
arts_entertainment,http://abcnews.go.com/Entertainment/MichaelJackson/story?id=7932509&page=1,113,"0,0,0,2,0",2,/static/snapshots/l/url113.jpg,"Michael Jackson Dead, King of Pop Died at 50 - ABC News"
arts_entertainment,http://itunes.apple.com/us/artist/michael-jackson/id32940,114,"0,0,0,1,1",2,/static/snapshots/l/url114.jpg,iTunes - Music - Michael Jackson
arts_entertainment,http://www.nme.com/artists/michael-jackson/,115,"0,0,1,1,0",2,/static/snapshots/l/url115.jpg,"Michael Jackson - news, lyrics, pictures, reviews, biography, videos, best songs, discography, concerts, gossip, pictures and tour dates"
arts_entertainment,http://en.wikipedia.org/wiki/Nadya_Suleman,116,"0,0,0,1,1",2,/static/snapshots/l/url116.jpg,"Nadya Suleman - Wikipedia, the free encyclopedia"
sports,http://topics.latimes.com/health/nadya-suleman,117,"0,0,0,2,0",2,/static/snapshots/l/url117.jpg,"Nadya Suleman news, photos and video - chicagotribune.com"
recreation,http://www.mahalo.com/nadya-suleman,118,"0,0,0,1,1",2,/static/snapshots/l/url118.jpg,Nadya Suleman
sports,http://topics.nytimes.com/top/reference/timestopics/people/s/nadya_suleman/index.html,119,"0,0,0,1,1",2,/static/snapshots/l/url119.jpg,Nadya Suleman News - The New York Times
science_technology,http://www.heritage.org/Research/Reports/2007/12/Beware-of-Cap-and-Trade-Climate-Bills,120,"0,0,0,1,1",2,/static/snapshots/l/url120.jpg,Beware of Cap and Trade Climate Bills
culture_politics,http://online.wsj.com/article/SB124588837560750781.html,121,"0,0,0,1,1",2,/static/snapshots/l/url121.jpg,The Cap and Tax Fiction - WSJ.com
science_technology,http://www.generationgreen.org/cap-trade.htm,122,"0,0,0,2,0",2,/static/snapshots/l/url122.jpg,"What Does ""Cap and Trade"" Mean?"
science_technology,http://www.fastcompany.com/1661427/cap-and-trade-definition-its-all-easier-to-understand-than-you-think?partner=rss,123,"0,0,0,2,0",2,/static/snapshots/l/url123.jpg,Cap and Trade: It&#039;s Not That Complicated | Fast Company
science_technology,http://topics.nytimes.com/topics/reference/timestopics/subjects/g/greenhouse_gas_emissions/cap_and_trade/index.html?inline=nyt-classifier,124,"0,0,0,2,0",2,/static/snapshots/l/url124.jpg,Cap and Trade News - The New York Times
science_technology,http://voices.washingtonpost.com/ezra-klein/2010/06/a_utilities-only_cap-and-trade.html?hpid=news-col-blog,125,"0,0,0,2,0",2,/static/snapshots/l/url125.jpg,Ezra Klein  - A utilities-only cap-and-trade
science_technology,http://www.arb.ca.gov/cc/capandtrade/capandtrade.htm,126,"0,0,0,1,1",2,/static/snapshots/l/url126.jpg,Cap-and-Trade Program | California Air Resources Board
science_technology,http://www.edf.org/page.cfm?tagID=1085,127,"0,0,0,2,0",2,/static/snapshots/l/url127.jpg,Acid rain: The power of markets to help the planet | Environmental Defense Fund
business,http://www.carbontax.org/issues/carbon-taxes-vs-cap-and-trade/,128,"0,0,0,2,0",2,/static/snapshots/l/url128.jpg,Carbon Tax Center &raquo; Vs. Cap-Trade
business,http://www.businessdictionary.com/definition/cap-and-trade.html,129,"0,0,0,2,0",2,/static/snapshots/l/url129.jpg,What is cap and trade? definition and meaning
science_technology,http://en.wikipedia.org/wiki/Climate_change_consensus,130,"0,0,1,1,0",2,/static/snapshots/l/url130.jpg,"Climate change consensus - Wikipedia, the free encyclopedia"
science_technology,http://www.ecy.wa.gov/climatechange/,131,"0,0,0,1,1",2,/static/snapshots/l/url131.jpg,"Climate Change in Washington State | Washington State Department of Ecology | global warming, greenhouse gas emissions"
science_technology,http://online.wsj.com/article/SB124597505076157449.html,132,"0,0,0,1,1",2,/static/snapshots/l/url132.jpg,The Climate Change Climate Change - WSJ.com
science_technology,http://www.britannica.com/EBchecked/topic/121632/climate-change,133,"0,0,0,1,1",2,/static/snapshots/l/url133.jpg,climate change -- Britannica Online Encyclopedia
culture_politics,http://www.huffingtonpost.com/news/climate-change,134,"0,0,0,2,0",2,/static/snapshots/l/url134.jpg,"Climate Change: Pictures, Videos, Breaking News"
science_technology,http://www.climatechange.ca.gov/,135,"0,0,0,1,1",2,/static/snapshots/l/url135.jpg,Climate Change Portal - Home Page
science_technology,http://www.water.ca.gov/climatechange/,136,"0,0,0,1,1",2,/static/snapshots/l/url136.jpg,Climate Change
science_technology,http://climatechange.msu.edu/,137,"0,0,0,2,0",2,/static/snapshots/l/url137.jpg,Climate Change at MSU | Michigan State University
science_technology,http://www.geosociety.org/positions/position10.htm,138,"0,0,0,2,0",2,/static/snapshots/l/url138.jpg,The Geological Society of America - Position Statement on Global Climate Change
science_technology,http://www.ecy.wa.gov/climatechange/whatis.htm,139,"0,0,0,1,1",2,/static/snapshots/l/url139.jpg,What is climate change? | Climate Change Education | Climate Change | Washington State Department of Ecology
business,http://jobs.greenbiz.com/,140,"0,0,0,2,0",2,/static/snapshots/l/url140.jpg,Green Jobs and Sustainability Careers | GreenBiz
science_technology,http://www.sustainablebusiness.com/jobs/,141,"0,0,0,2,0",2,/static/snapshots/l/url141.jpg,"Green Jobs, Renewable Energy Jobs, Cleantech Jobs, Environmental Jobs"
business,http://jobs.treehugger.com/,142,"0,0,0,2,0",2,/static/snapshots/l/url142.jpg,Green Jobs | TreeHugger
business,http://www.fastcompany.com/articles/2009/01/best-green-jobs.html,143,"0,0,0,2,0",2,/static/snapshots/l/url143.jpg,Ten Best Green Jobs for the Next Decade | Fast Company
business,http://www.sierraclub.org/greenjobs/,144,"0,0,0,1,1",2,/static/snapshots/l/url144.jpg,Green Jobs - Sierra Club
business,http://www.careerbuilder.com/jobs/keyword/green+jobs,145,"0,0,0,2,0",2,/static/snapshots/l/url145.jpg,Green Jobs Jobs on CareerBuilder.com
science_technology,http://urbanhabitat.org/node/528,146,"0,0,1,1,0",2,/static/snapshots/l/url146.jpg,Green Collar Jobs | Urban Habitat
science_technology,http://jobs.jetsongreen.com/,147,"0,0,0,2,0",2,/static/snapshots/l/url147.jpg,Greener Jobs by Jetson Green
business,http://www.msnbc.msn.com/id/27284822/,148,"0,0,0,2,0",2,/static/snapshots/l/url148.jpg,The hottest places for green jobs in the U.S. - Business - Going Green | NBC News
business,http://greenjobs.itcilo.org/,149,"0,0,0,2,0",2,/static/snapshots/l/url149.jpg,The Green Jobs Training Site &mdash; Green Jobs
business,http://www.greenjobscentral.blogspot.com/,150,"0,0,0,2,0",2,/static/snapshots/l/url150.jpg,Green Jobs Central
science_technology,http://www.5milliongreenjobs.org/,151,"0,0,0,2,0",2,/static/snapshots/l/url151.jpg,US / USA - Clean Energy Jobs in Hiring for America | Sustainable Energy Jobs in USA | US Green Jobs Social Network| Green Jobs for America
business,http://jobs.grist.org/,152,"0,0,0,2,0",2,/static/snapshots/l/url152.jpg,Grist Jobs | Green Jobs
law_crime,http://greenjobs.workforce3one.org/,153,"0,0,0,2,0",2,/static/snapshots/l/url153.jpg,Green Jobs Community of Practice : Index
culture_politics,http://veteransgreenjobs.org/,154,"0,0,0,2,0",2,/static/snapshots/l/url154.jpg,Veterans Green Jobs
science_technology,http://www.greencollarblog.org/,155,"0,0,0,2,0",2,/static/snapshots/l/url155.jpg,Green Collar Jobs: Green Collar Blog
business,http://www.msnbc.msn.com/id/24794156/,156,"0,0,0,2,0",2,/static/snapshots/l/url156.jpg,Green industries offering job growth - Business - Careers | NBC News
science_technology,http://organic.org/,157,"0,0,0,1,1",2,/static/snapshots/l/url157.jpg,Organic.org
science_technology,http://www.organiceatingdaily.com/,158,"0,0,0,2,0",2,/static/snapshots/l/url158.jpg,Organic Recipes & More | Healthy Food Blog | Organic Eating Daily
business,http://www.webmd.com/food-recipes/features/eating-organic,159,"0,0,0,2,0",2,/static/snapshots/l/url159.jpg,Eating Organic
science_technology,http://www.msnbc.msn.com/id/3076638/,160,"0,0,0,2,0",2,/static/snapshots/l/url160.jpg,New reasons for eating organic? - Health - Your Environment | NBC News
science_technology,http://www.nytimes.com/2009/03/22/weekinreview/22bittman.html,161,"0,0,0,2,0",2,/static/snapshots/l/url161.jpg,"Eating Food That&#8217;s Better for You, Organic or Not - NYTimes.com"
science_technology,http://www.nytimes.com/2008/12/04/health/04iht-snparker.1.18329349.html,162,"0,0,0,2,0",2,/static/snapshots/l/url162.jpg,One man's 3-year experiment in eating organic food - all the time - The New York Times
