Topic,Query,Result Rank,URL,Likert Rating - Microsoft,Likert Rating - EPFL
Environment,cap-and-trade,3,http://www.americanprogress.org/issues/2008/01/capandtrade101.html,4,5
Environment,cap-and-trade,6,http://online.wsj.com/article/SB123655590609066021.html,5,5
Environment,cap-and-trade,12,http://www.washingtonpost.com/wp-dyn/content/article/2009/05/31/AR2009053102077.html,5,5
Environment,cap-and-trade,14,http://en.wikipedia.org/wiki/American_Clean_Energy_and_Security_Act,4,5
Environment,cap-and-trade,23,http://www.epa.gov/captrade/captrade-101.html,5,5
Environment,cap-and-trade,28,http://www.sightline.org/research/energy/res_pubs/cap-and-trade-101,4,5
Environment,climate change,1,http://www.epa.gov/climatechange/,5,5
Environment,climate change,2,http://en.wikipedia.org/wiki/Climate_change,5,5
Environment,climate change,3,http://www.nature.org/initiatives/climatechange/,5,5
Environment,climate change,4,http://www.answers.com/topic/climate-change,4,5
Environment,climate change,6,http://www.pewclimate.org/,5,5
Environment,climate change,8,http://climate.nasa.gov/,5,5
Environment,climate change,11,http://simple.wikipedia.org/wiki/Climate_change,5,5
Environment,climate change,12,http://www.epa.gov/climatechange/basicinfo.html,5,5
Environment,climate change,18,http://www.ipcc.ch/,5,5
Environment,climate change,19,http://www.exploratorium.edu/climate/,5,5
Environment,climate change,33,http://academickids.com/encyclopedia/index.php/Climate_change,4,5
Environment,climate change,37,http://unfccc.int/,5,5
Environment,climate change,39,http://ec.europa.eu/environment/climat/home_en.htm,4,5
Environment,green jobs,6,http://en.wikipedia.org/wiki/Green_jobs,4,5
Environment,green jobs,8,http://en.wikipedia.org/wiki/Green-collar_worker,5,5
Environment,green jobs,19,http://greenjobsalliance.org/,5,5
Environment,green jobs,20,http://www.usgbc.org/DisplayPage.aspx?CMSPageID=1954,5,5
Environment,green jobs,38,http://greenjobs.waketech.edu/,4,5
Environment,organic eating,1,http://organiceating.com/,5,5
Environment,organic eating,8,http://en.wikipedia.org/wiki/Organic_food,5,5
Environment,renewable energy,1,http://en.wikipedia.org/wiki/Renewable_energy,5,5
Environment,renewable energy,2,http://www.nrel.gov/,5,5
Environment,renewable energy,3,http://www.eia.doe.gov/kids/energyfacts/sources/renewable/renewable.html,5,5
Environment,renewable energy,6,http://en.wikipedia.org/wiki/Renewable_energy_in_California,5,5
Environment,renewable energy,8,http://simple.wikipedia.org/wiki/Renewable_energy,5,5
Environment,renewable energy,9,http://www.eere.energy.gov/,5,5
Environment,renewable energy,17,http://www.lanepowell.com/237/renewable-energy/,4,5
Environment,renewable energy,19,http://www.green.harvard.edu/renewable-energy,5,5
Environment,renewable energy,21,http://www.energy.ca.gov/renewables/index.html,5,5
Environment,renewable energy,24,http://www.dieoff.org/page84.htm,4,5
Environment,renewable energy,30,http://nationalatlas.gov/articles/people/a_energy.html,5,5
Environment,renewable energy,34,http://the-mrea.org/,4,5
Health,alzheimer's genes,1,http://www.mayoclinic.com/health/alzheimers-genes/AZ00047,5,5
Health,alzheimer's genes,2,"http://www.time.com/time/health/article/0,8599,1920745,00.html",5,5
Health,alzheimer's genes,9,http://physrev.physiology.org/cgi/content/full/81/2/741,4,5
Health,alzheimer's genes,11,http://www.nia.nih.gov/Alzheimers/Publications/geneticsfs.htm,5,5
Health,alzheimer's genes,14,http://www.ncbi.nlm.nih.gov/pubmed/11274343,5,5
Health,alzheimer's genes,18,http://www.webmd.com/alzheimers/guide/20061101/who-gets-alzheimers-genes-hold-key,5,5
Health,alzheimer's genes,19,http://www.businessweek.com/lifestyle/content/healthday/640111.html,5,5
Health,alzheimer's genes,20,http://www.medpagetoday.com/Neurology/AlzheimersDisease/15850,5,5
Health,alzheimer's genes,28,http://www.alzinfo.org/alzheimers-genetic.asp,4,5
Health,alzheimer's genes,31,http://en.wikipedia.org/wiki/Alzheimer%27s_disease,5,5
Health,alzheimer's genes,34,http://news.health.com/2010/05/11/new-alzheimers-risk-genes-identified/,5,5
Health,Atkins diet effectiveness,3,http://nccam.nih.gov/research/results/spotlight/030607.htm,5,5
Health,Atkins diet effectiveness,18,http://www.clinicaltrials.gov/ct2/show/NCT00006193,5,5
Health,autism warning signs,7,http://www.mayoclinic.com/health/autism/DS00348/DSECTION=symptoms,5,5
Health,autism warning signs,26,http://www.cornerstorkbabygifts.com/autism-warning-signs.aspx,4,5
Health,h1n1 vaccine side effects,2,http://www.cdc.gov/h1n1flu/vaccination/vaccine_safety_qa.htm,5,5
Health,h1n1 vaccine side effects,3,http://www.cdc.gov/vaccines/vac-gen/side-effects.htm,5,5
Health,h1n1 vaccine side effects,37,http://www.who.int/csr/disease/swineflu/frequently_asked_questions/vaccine_preparedness/safety_approval/en/index.html,4,5
Celebrities,adam lambert,4,http://www.thehollywoodgossip.com/2010/06/new-adam-lambert-music-video-love-it-or-hate-it/,3,4
Celebrities,adam lambert,14,http://www.imdb.com/name/nm2189338/,5,4
Celebrities,adam lambert,29,http://top40.about.com/od/l/p/adamlambert.htm,4,4
Celebrities,floyd landis,3,http://www.usatoday.com/sports/cycling/2010-06-08-UCI-floyd-landis-drug-accusations_N.htm,4,4
Celebrities,floyd landis,13,http://sportsillustrated.cnn.com/2010/magazine/05/25/lance.armstrong/index.html,5,4
Celebrities,floyd landis,17,http://sports.espn.go.com/oly/cycling/news/story?id=3029089,5,4
Celebrities,floyd landis,23,http://latimesblogs.latimes.com/sports_blog/2010/06/floyd-landis-hires-greg-lemonds-lawyers.html,4,4
Celebrities,floyd landis,24,http://sports.espn.go.com/oly/cycling/news/story?id=2541883,4,4
Celebrities,floyd landis,27,http://www.cyclingnews.com/editions/cycling-news-flash-june-30-2008,3,4
Celebrities,floyd landis,28,http://pipeline.corante.com/archives/2006/08/01/testosterone_carbon_isotopes_and_floyd_landis.php,3,4
Celebrities,floyd landis,32,http://www.cbass.com/FloydLandis.htm,2,4
Celebrities,floyd landis,33,http://www.nytimes.com/2010/02/16/sports/cycling/16landis.html,5,4
Celebrities,floyd landis,35,http://www.huffingtonpost.com/2010/02/15/floyd-landis-arrest-warra_n_462711.html,5,4
Celebrities,floyd landis,39,http://orthopedics.about.com/od/famousinjuries/p/landis.htm,3,4
Celebrities,lady gaga,3,http://newsweek.washingtonpost.com/onfaith/guestvoices/2010/06/lady_gaga_is_no_madonna.html?hpid=talkbox1,5,4
Celebrities,lady gaga,10,http://www.last.fm/music/Lady+GaGa,4,4
Celebrities,lady gaga,12,http://ladygagaonline.net/,4,4
Celebrities,lady gaga,19,http://www.lady-gaga.net/,4,4
Celebrities,lady gaga,21,http://new.music.yahoo.com/lady-gaga/,4,4
Celebrities,lady gaga,22,http://top40.about.com/od/l/p/ladygaga.htm,4,4
Celebrities,lady gaga,27,http://www.mahalo.com/lady-gaga,4,4
Celebrities,lady gaga,30,http://abcnews.go.com/Entertainment/story?id=8278249&page=1,5,4
Celebrities,lady gaga,31,http://www.stubhub.com/lady-gaga-tickets/,5,4
Celebrities,lady gaga,33,http://www.zimbio.com/Lady+Gaga,4,4
Celebrities,lady gaga,38,http://www.celebuzz.com/celebrities/lady-gaga/,3,4
Celebrities,michael jackson,2,http://www.michaeljackson.com/us/home,4,4
Celebrities,michael jackson,5,http://www.myspace.com/michaeljackson,3,4
Celebrities,michael jackson,6,http://www.tmz.com/person/michael-jackson/,2,4
Celebrities,michael jackson,8,http://today.msnbc.msn.com/id/37764023,4,4
Celebrities,michael jackson,10,http://www.flixster.com/actor/michael-jackson,3,4
Celebrities,michael jackson,11,http://www.fanhistory.com/wiki/Michael_Jackson,2,4
Celebrities,michael jackson,12,http://www.last.fm/music/Michael+Jackson,4,4
Celebrities,michael jackson,15,http://www.amazon.com/Michael-Jackson/e/B000APU04Q,5,4
Celebrities,michael jackson,22,http://en.wikiquote.org/wiki/Michael_Jackson,4,4
Celebrities,michael jackson,27,http://www.hollyscoop.com/michael-jackson/40.aspx,3,4
Celebrities,michael jackson,28,http://topics.nytimes.com/top/reference/timestopics/people/j/michael_jackson/index.html,5,4
Celebrities,michael jackson,36,http://www.mahalo.com/michael-jackson,4,4
Celebrities,michael jackson,37,http://abcnews.go.com/Entertainment/MichaelJackson/story?id=7932509&page=1,4,4
Celebrities,michael jackson,39,http://itunes.apple.com/us/artist/michael-jackson/id32940,5,4
Celebrities,michael jackson,40,http://www.nme.com/artists/michael-jackson/,3,4
Celebrities,nadya suleman,1,http://en.wikipedia.org/wiki/Nadya_Suleman,5,4
Celebrities,nadya suleman,3,http://topics.latimes.com/health/nadya-suleman,4,4
Celebrities,nadya suleman,5,http://www.mahalo.com/nadya-suleman,5,4
Celebrities,nadya suleman,31,http://topics.nytimes.com/top/reference/timestopics/people/s/nadya_suleman/index.html,5,4
Environment,cap-and-trade,5,http://www.heritage.org/Research/Reports/2007/12/Beware-of-Cap-and-Trade-Climate-Bills,5,4
Environment,cap-and-trade,7,http://online.wsj.com/article/SB124588837560750781.html,5,4
Environment,cap-and-trade,9,http://www.generationgreen.org/cap-trade.htm,4,4
Environment,cap-and-trade,10,http://www.fastcompany.com/1661427/cap-and-trade-definition-its-all-easier-to-understand-than-you-think?partner=rss,4,4
Environment,cap-and-trade,11,http://topics.nytimes.com/topics/reference/timestopics/subjects/g/greenhouse_gas_emissions/cap_and_trade/index.html?inline=nyt-classifier,4,4
Environment,cap-and-trade,16,http://voices.washingtonpost.com/ezra-klein/2010/06/a_utilities-only_cap-and-trade.html?hpid=news-col-blog,4,4
Environment,cap-and-trade,17,http://www.arb.ca.gov/cc/capandtrade/capandtrade.htm,5,4
Environment,cap-and-trade,26,http://www.edf.org/page.cfm?tagID=1085,4,4
Environment,cap-and-trade,35,http://www.cogeneration.net/cap_and_trade.htm,2,4
Environment,cap-and-trade,37,http://www.carbontax.org/issues/carbon-taxes-vs-cap-and-trade/,4,4
Environment,cap-and-trade,39,http://www.businessdictionary.com/definition/cap-and-trade.html,4,4
Environment,climate change,9,http://en.wikipedia.org/wiki/Climate_change_consensus,3,4
Environment,climate change,22,http://www.ecy.wa.gov/climatechange/,5,4
Environment,climate change,23,http://online.wsj.com/article/SB124597505076157449.html,5,4
Environment,climate change,27,http://www.britannica.com/EBchecked/topic/121632/climate-change,5,4
Environment,climate change,28,http://www.huffingtonpost.com/news/climate-change,4,4
Environment,climate change,31,http://www.climatechange.ca.gov/,5,4
Environment,climate change,32,http://www.water.ca.gov/climatechange/,5,4
Environment,climate change,35,http://www.wunderground.com/climate/,5,4
Environment,climate change,36,http://climatechange.msu.edu/,4,4
Environment,climate change,38,http://www.geosociety.org/positions/position10.htm,4,4
Environment,climate change,40,http://www.ecy.wa.gov/climatechange/whatis.htm,5,4
Environment,green jobs,3,http://jobs.greenbiz.com/,4,4
Environment,green jobs,4,http://www.sustainablebusiness.com/jobs/,4,4
Environment,green jobs,5,http://jobs.treehugger.com/,4,4
Environment,green jobs,10,http://www.sustainlane.com/green-jobs,4,4
Environment,green jobs,16,http://www.fastcompany.com/articles/2009/01/best-green-jobs.html,4,4
Environment,green jobs,17,http://www.sierraclub.org/greenjobs/,5,4
Environment,green jobs,18,http://www.careerbuilder.com/jobs/keyword/green+jobs,4,4
Environment,green jobs,21,http://urbanhabitat.org/node/528,3,4
Environment,green jobs,23,http://jobs.jetsongreen.com/,4,4
Environment,green jobs,25,http://www.msnbc.msn.com/id/27284822/,4,4
Environment,green jobs,26,http://greenjobs.itcilo.org/,4,4
Environment,green jobs,27,http://www.greenjobscentral.blogspot.com/,4,4
Environment,green jobs,28,http://www.5milliongreenjobs.org/,4,4
Environment,green jobs,29,http://jobs.grist.org/,4,4
Environment,green jobs,30,http://greenjobs.workforce3one.org/,4,4
Environment,green jobs,31,http://veteransgreenjobs.org/,4,4
Environment,green jobs,37,http://www.greencollarblog.org/,4,4
Environment,green jobs,40,http://www.msnbc.msn.com/id/24794156/,4,4
Environment,organic eating,2,http://organic.org/,5,4
Environment,organic eating,3,http://www.organiceatingdaily.com/,4,4
Environment,organic eating,4,http://www.webmd.com/food-recipes/features/eating-organic,4,4
Environment,organic eating,5,http://www.msnbc.msn.com/id/3076638/,4,4
Environment,organic eating,7,http://www.nytimes.com/2009/03/22/weekinreview/22bittman.html,4,4
Environment,organic eating,9,http://www.nytimes.com/2008/12/04/health/04iht-snparker.1.18329349.html,4,4
Environment,organic eating,10,http://www.bankrate.com/brm/news/cheap/20040901a1.asp,4,4
Environment,organic eating,13,"http://www.time.com/time/magazine/article/0,9171,1595245,00.html",4,4
Environment,organic eating,14,http://www.thehealthyeatingguide.com/organiceating.html,4,4
Environment,organic eating,22,http://articles.sfgate.com/2007-11-28/food/17269959_1_antioxidants-organic-uc-davis,4,4
Environment,organic eating,23,http://www.recipe4living.com/articles/eating_organic.htm,4,4
Environment,organic eating,28,http://www.organic.org/articles/showarticle/article-207,4,4
Environment,organic eating,35,http://www.eatingwell.com/food_news_origins/green_sustainable/organic_or_not_is_organic_produce_healthier_than_conventional,4,4
Environment,organic eating,39,http://www.goodharvestmarket.com/special_diets/eating_organic.html,4,4
Environment,renewable energy,4,http://www.csmonitor.com/From-the-news-wires/2010/0617/Renewable-energy-New-Mexico-to-build-two-solar-power-facilities,5,4
Environment,renewable energy,5,http://renewableenergy.com/,4,4
Environment,renewable energy,7,http://www.answers.com/topic/renewable-energy,4,4
Environment,renewable energy,12,http://www.nrel.gov/learning/,5,4
Environment,renewable energy,13,http://www.wikinvest.com/industry/Renewable_Energy,4,4
Environment,renewable energy,16,http://www.uwsp.edu/cnr/wcee/keep/renewable_energy_education/,5,4
Environment,renewable energy,18,http://www.energysavers.gov/renewable_energy/,5,4
Environment,renewable energy,22,http://www.focusonenergy.com/Renewable/,5,4
Environment,renewable energy,23,http://www.renewablechoice.com/,4,4
Environment,renewable energy,26,http://www.amazon.com/Renewable-Energy-Godfrey-Boyle/dp/0199261784,5,4
Environment,renewable energy,28,http://www.njcleanenergy.com/renewable-energy/home/home,5,4
Environment,renewable energy,29,http://www.eia.doe.gov/fuelrenewable.html,5,4
Environment,renewable energy,35,http://arch.hku.hk/research/BEER/renew.htm,4,4
Environment,renewable energy,40,http://www.dec.ny.gov/energy/40899.html,5,4
Health,alzheimer's genes,3,http://www.genetichealth.com/ALZ_Genetics_of_Alzheimers_Disease.shtml,4,4
Health,alzheimer's genes,6,http://news.bbc.co.uk/2/hi/health/8237686.stm,5,4
Health,alzheimer's genes,7,http://www.medicalnewstoday.com/articles/163133.php,4,4
Health,alzheimer's genes,8,http://www.accessexcellence.org/WN/SUA12/alz398.php,4,4
Health,alzheimer's genes,10,http://www.guardian.co.uk/science/2009/sep/06/alzheimers-disease-genes-research,5,4
Health,alzheimer's genes,12,http://discovermagazine.com/2010/jan-feb/088,4,4
Health,alzheimer's genes,13,http://abcnews.go.com/Health/MindMoodNews/alzheimers-gene-discovery/story?id=8494263,4,4
Health,alzheimer's genes,15,http://brainfitforlife.com/blog/?tag=alzheimers-genes,3,4
Health,alzheimer's genes,17,http://www.medicalnewstoday.com/articles/116532.php,4,4
Health,alzheimer's genes,22,http://www.nhs.uk/news/2009/09September/Pages/NewAlzheimersGenesFound.aspx,5,4
Health,alzheimer's genes,23,http://www.usnews.com/science/articles/2009/09/08/three-genes-linked-to-alzheimers-disease-risk.html,4,4
Health,alzheimer's genes,25,http://www.bloomberg.com/apps/news?pid=20601087&sid=arR9p6MFWd9I,4,4
Health,alzheimer's genes,27,http://blogs.nature.com/news/thegreatbeyond/2009/09/alzheimers_genes_identified.html,4,4
Health,alzheimer's genes,35,http://iafrica.com/technology/news/science/2409280.htm,4,4
Health,alzheimer's genes,36,http://www.npr.org/blogs/health/2009/09/more_alzheimers_genes_found_cu.html,5,4
Health,alzheimer's genes,38,http://latimesblogs.latimes.com/booster_shots/2009/09/new-genes-linked-to-alzheimers.html,4,4
Health,Atkins diet effectiveness,1,http://www.thedietchannel.com/atkins.htm,4,4
Health,Atkins diet effectiveness,7,http://www.diet.com/store/facts/atkins-diet,4,4
Health,Atkins diet effectiveness,14,http://www.oprah.com/health/Is-South-Beach-Diet-Better-Than-Atkins-or-Other-Diets,4,4
Health,Atkins diet effectiveness,20,http://www.amazon.com/Dr-Atkins-New-Diet-Revolution/dp/0380727293,5,4
Health,Atkins diet effectiveness,21,http://www.amazon.com/Dr-Atkins-New-Diet-Revolution/dp/0380803682,5,4
Health,Atkins diet effectiveness,22,http://www.lowcarb.ca/articlesb/article328.html,4,4
Health,Atkins diet effectiveness,23,http://serendip.brynmawr.edu/exchange/node/1700,3,4
Health,Atkins diet effectiveness,24,http://my.dietpower.com/features/atkins_diet.php,4,4
Health,Atkins diet effectiveness,28,http://www.atkinsexposed.org/atkins/99/Mayo_Clinic.htm,4,4
Health,Atkins diet effectiveness,31,http://www.everydiet.org/diet/atkins-diet/comment-page-1,3,4
Health,Atkins diet effectiveness,33,http://www.netdoctor.co.uk/features/atkins_diet_003833.htm,4,4
Health,Atkins diet effectiveness,34,http://professionals.epilepsy.com/secondary/atkinsadults.html,4,4
Health,autism warning signs,1,http://www.autismweb.com/signs.htm,4,4
Health,autism warning signs,5,http://www.autismspeaks.org/whatisit/learnsigns.php,4,4
Health,autism warning signs,6,http://www.medicinenet.com/script/main/art.asp?articlekey=80625,5,4
Health,autism warning signs,8,http://www.helpguide.org/mental/autism_signs_symptoms.htm,4,4
Health,autism warning signs,12,http://www.autismspeaks.ca/en/early-warning-signs,4,4
Health,autism warning signs,14,http://www.firstsigns.org/,4,4
Health,autism warning signs,15,http://autismmclean.org/understandingAutism/warningSigns,4,4
Health,autism warning signs,16,http://autism.suite101.com/article.cfm/early_diagnosis_of_autism,4,4
Health,autism warning signs,17,http://www.justmommies.com/articles/early-warning-signs-autism.shtml,4,4
Health,autism warning signs,18,http://www.ehow.com/about_5435410_early-warning-signs-autism.html,4,4
Health,autism warning signs,20,http://www.firstsigns.org/delays_disorders/asd.htm,4,4
Health,autism warning signs,21,http://drphil.com/articles/article/545,4,4
Health,autism warning signs,23,http://www.justmommies.com/gradeschool-kids/kids-development/early-warning-signs-autism,4,4
Health,autism warning signs,24,http://www.webmd.com/brain/autism/news/20070705/cues-may-signal-autism-toddlers,5,4
Health,autism warning signs,25,http://www.cdc.gov/ncbddd/actearly/index.html,5,4
Health,autism warning signs,27,http://hubpages.com/hub/signs_of_autism_in_infants,4,4
Health,autism warning signs,28,http://www.suite101.com/blog/traceythompson/441,4,4
Health,autism warning signs,30,http://www.autisminfoguide.com/autism/46,4,4
Health,autism warning signs,33,http://www.associatedcontent.com/article/2060919/signs_and_symptoms_of_autism_in_infants.html,4,4
Health,autism warning signs,37,http://onspectrum.com/Autism-Signs-Symptoms.html,4,4
Health,autism warning signs,38,http://www.healthcentral.com/adhd/c/849319/68799/warning-signs-detect,4,4
Health,h1n1 vaccine side effects,1,http://www.webmd.com/cold-and-flu/features/is-the-h1n1-swine-flu-vaccine-safe,5,4
Health,h1n1 vaccine side effects,4,http://www.sciencenews.org/view/generic/id/49017/title/H1N1_vaccine_Counting_side_effects,4,4
Health,h1n1 vaccine side effects,5,http://health.blogs.foxnews.com/2009/10/26/tracking-h1n1-vaccine-side-effects/,4,4
Health,h1n1 vaccine side effects,10,http://www.examiner.com/x-18331-Natural-Health-Examiner~y2009m10d5-What-are-the-possible-side-effects-of-the-H1N1-Swine-Flu-vaccinations,4,4
Health,h1n1 vaccine side effects,11,http://www.associatedcontent.com/article/2369932/h1n1_side_effects_side_effects_of_the.html?cat=5,4,4
Health,h1n1 vaccine side effects,30,http://www.associatedcontent.com/article/2332570/possible_h1n1_vaccine_deaths_whats.html?cat=5,4,4
Health,h1n1 vaccine side effects,34,http://www.nowpublic.com/health/h1n1-vaccine-no-serious-side-effects-found-says-who-2509956.html,4,4
Health,h1n1 vaccine side effects,38,http://www.cbsnews.com/stories/2009/11/20/earlyshow/health/main5723397.shtml,4,4
Health,h1n1 vaccine side effects,39,http://thestar.com.my/news/story.asp?file=/2009/9/28/nation/20090928092605&sec=nation,4,4
Health,h1n1 vaccine side effects,40,http://thestar.com.my/news/story.asp?file=/2009/9/28/nation/20090928092605&sec=nation,4,4
Health,p90x exercise program effectiveness,6,http://www.dietresearch.com/diet-reviews/p90x/,4,4
Health,p90x exercise program effectiveness,7,http://www.dietspotlight.com/p90x-review/,4,4
Health,p90x exercise program effectiveness,11,http://www.wellsphere.com/exercise-article/how-does-p90x-work-part-2-of-12/20499,4,4
Health,p90x exercise program effectiveness,12,http://www.extremebodyworkout.com/blog/,3,4
Health,p90x exercise program effectiveness,17,http://www.beachbody.com/product/newsletters/283.do,3,4
Health,p90x exercise program effectiveness,20,http://reviewsalert.com/p90x-exercise-home-fitness-workout-guide-and-13-dvd-set/,3,4
Health,p90x exercise program effectiveness,21,http://hubpages.com/hub/P90X-Reviews-Does-P90X-Work,4,4
Health,p90x exercise program effectiveness,26,http://www.mikereinold.com/2008/12/best-home-workout.html,3,4
Health,p90x exercise program effectiveness,31,http://www.thedreamlounge.net/2009/06/22/dear-dream-what-is-p90x-and-does-p90x-really-work/,3,4
Health,p90x exercise program effectiveness,36,http://www.amazon.com/Resistance-Exercise-insanity-crossfit-physical/dp/B002YQN802,5,4
Health,p90x exercise program effectiveness,38,http://www.p90x-review.net/how-it-works.html,4,4
Personal Finance,how to reduce personal debt,3,http://www.mastercard.com/us/personal/en/learningcenter/debtknowhow/assessyourdebt/index.html,3,4
Personal Finance,how to reduce personal debt,5,http://personal-debt-management.suite101.com/article.cfm/reduce_debt,3,4
Personal Finance,how to reduce personal debt,10,http://www.mint.com/blog/finance-core/your-bailout-slash-your-credit-card-debt/,4,4
Personal Finance,how to reduce personal debt,20,http://www.lendersmark.org/debt-consolidation.htm,2,4
Personal Finance,how to reduce personal debt,21,http://www.bankrate.com/brm/calculators/creditcards/reduce_credit_card_debt.asp,4,4
Personal Finance,how to reduce personal debt,24,http://www.mahalo.com/how-to-reduce-student-loan-debt,4,4
Personal Finance,how to reduce personal debt,36,http://www.howtodothings.com/finance-and-money/a2603-how-to-set-a-budget-for-debt-reduction.html,2,4
Personal Finance,is it a good time to invest,2,http://cashmoneylife.com/2008/10/21/increase-investment-contributions-ira-401k/,4,4
Personal Finance,is it a good time to invest,3,http://www.usatoday.com/money/perfi/columnist/block/2008-04-21-inflation-adjusted-bonds_N.htm,4,4
Personal Finance,is it a good time to invest,8,http://www.fool.com/investing/beginning/whens-the-right-time-to-invest.aspx,4,4
Personal Finance,is it a good time to invest,12,http://moneywatch.bnet.com/investing/blog/wise-investing/is-now-a-good-time-to-invest-in-tips/681/,4,4
Personal Finance,is it a good time to invest,13,http://moneyshaker.blogspot.com/2007/06/is-it-good-time-to-invest-in-real.html,2,4
Personal Finance,is it a good time to invest,16,http://www.fool.com/investing/dividends-income/2008/10/24/invest-without-the-stress.aspx,4,4
Celebrities,adam lambert,2,http://www.adamofficial.com/us/intro,4,3
Celebrities,adam lambert,3,http://www.adamofficial.com/us/home,4,3
Celebrities,adam lambert,6,http://adam-lambert.net/,4,3
Celebrities,adam lambert,8,http://www.thehollywoodgossip.com/stars/adam-lambert/,3,3
Celebrities,adam lambert,9,http://www.myspace.com/adamlambert,4,3
Celebrities,adam lambert,13,http://www.mahalo.com/adam-lambert,4,3
Celebrities,adam lambert,19,http://adam-lambert.org/,3,3
Celebrities,adam lambert,22,http://www.askmen.com/celebs/men/entertainment/adam-lambert/index.html,4,3
Celebrities,adam lambert,24,http://twitter.com/_Adam_Lambert_,4,3
Celebrities,adam lambert,30,http://www.adamlambertcd.com/,4,3
Celebrities,adam lambert,31,http://twitter.com/AdamLambert,4,3
Celebrities,adam lambert,33,http://justjared.buzznet.com/tags/adam-lambert/,3,3
Celebrities,adam lambert,34,http://www.zimbio.com/Adam+Lambert,4,3
Celebrities,adam lambert,38,http://www.blueblood.net/2009/03/adam-lambert-nude/,3,3
Celebrities,adam lambert,40,http://new.music.yahoo.com/adam-lambert/,4,3
Celebrities,floyd landis,10,http://topics.nytimes.com/topics/reference/timestopics/people/l/floyd_landis/index.html,5,3
Celebrities,floyd landis,11,http://www.tdfblog.com/floyd_landis/,4,3
Celebrities,floyd landis,14,http://ouchmedicalcenter.com/floyd,2,3
Celebrities,floyd landis,18,http://topics.wsj.com/person/L/floyd-landis/6145,5,3
Celebrities,floyd landis,19,http://www.usatoday.com/sports/cycling/2010-02-15-landis-warrant-update_N.htm?csp=34,4,3
Celebrities,floyd landis,21,http://www.popstarsplus.com/sports_floydlandis.htm,3,3
Celebrities,floyd landis,26,http://www.examiner.com/x-1155-Cycling-Examiner~y2010m5d29-Floyd-Landis-OUCH-part-company-embattled-cyclists-career-over-at-age-34,4,3
Celebrities,floyd landis,29,http://www.mahalo.com/floyd-landis,3,3
Celebrities,floyd landis,30,http://marriage.about.com/od/sports/p/floydlandis.htm,3,3
Celebrities,lady gaga,5,http://www.myspace.com/ladygaga,4,3
Celebrities,lady gaga,6,http://www.mtv.com/music/artist/lady_gaga/artist.jhtml,4,3
Celebrities,lady gaga,11,http://mog.com/music/Lady_Gaga,4,3
Celebrities,lady gaga,16,http://www.thehollywoodgossip.com/categories/lady-gaga/,3,3
Celebrities,lady gaga,17,http://photobucket.com/images/Lady%20Gaga/,4,3
Celebrities,lady gaga,20,http://www.contactmusic.com/info/lady_gaga,4,3
Celebrities,lady gaga,23,http://www.hollyscoop.com/lady-gaga/825.aspx,4,3
Celebrities,lady gaga,24,http://www.starpulse.com/Music/Lady_Gaga/,4,3
Celebrities,lady gaga,25,http://www.tvguide.com/celebrities/lady-gaga/294098,4,3
Celebrities,lady gaga,32,http://www.winamp.com/artist/lady-gaga,4,3
Celebrities,lady gaga,35,http://cache.umusic.com/web_assets/ladygaga/site/badromance/default2.html,4,3
